topic1,,topic2,,topic3,,topic4,,topic5,
methodology,0.625,split,0.384,silver,0.552,dfr,0.495,clinician,0.873
holi,0.382,unlabeled,0.372,smell,0.330,baseestim,0.259,programming,0.313
specif,0.219,past,0.317,million,0.328,heteroscedast,0.240,forming,0.249
dayminut,0.209,htmlbasic,0.275,contained,0.324,seratch,0.202,nation,0.219
ipso,0.202,noraini,0.257,alleviate,0.281,trec,0.191,rmalschain,0.194
conceptual,0.202,ration,0.246,sf,0.250,utils,0.172,grouping,0.191
beauti,0.184,salt,0.205,auroc,0.224,imshow,0.166,unlabeled,0.190
nelson,0.172,dissid,0.202,readings,0.210,survival,0.163,plane,0.179
kastnerfruwhirthschnatterasisstochvol,0.172,simpl,0.193,resolut,0.193,scholar,0.160,opportunityknock,0.168
pietzsch,0.168,locked,0.182,immediate,0.190,yum,0.158,techy,0.166
,,,,,,,,,
topic6,,topic7,,topic8,,topic9,,topic10,
note,0.222,langl,0.947,smartbind,0.447,instep,0.506,nought,0.921
nfold,0.218,ration,0.596,ldavi,0.382,morandat,0.199,convinc,0.619
midvalue,0.201,creatin,0.365,hierarchysplit,0.350,mydictionari,0.178,datascientistmap,0.342
predictable,0.183,hierarchysplit,0.353,cpr,0.293,tikhonov,0.175,ownership,0.302
mydictionari,0.166,unsupervisedfeatur,0.321,specially,0.272,keeps,0.174,ad,0.200
differentiable,0.161,anaconda,0.313,stackexchang,0.245,binari,0.171,utils,0.190
breakdown,0.157,mani,0.260,cdcomplimentari,0.236,epochs,0.167,mitie,0.188
monoton,0.157,compromis,0.222,baseestim,0.228,fob,0.163,religion,0.180
service,0.153,note,0.208,thirdli,0.213,spare,0.161,readings,0.176
activ,0.147,simpl,0.203,breakdown,0.188,anaconda,0.159,perci,0.175